
"2001 census - theme tables"
"ONS Crown Copyright Reserved [from Nomis on 26 December 2020]"
"Analysis   :","standard"
"Date       :","2001"

"row","Essex","Cell"
 ,"E10000012","1"

1,1310835,"T53:1 (ALL PEOPLE : ALL PEOPLE )"
2,971558,"T53:2 (ALL PEOPLE : Christian )"
3,2661,"T53:3 (ALL PEOPLE : Buddhist )"
4,5034,"T53:4 (ALL PEOPLE : Hindu )"
5,6209,"T53:5 (ALL PEOPLE : Jewish )"
6,7601,"T53:6 (ALL PEOPLE : Muslim )"
7,1325,"T53:7 (ALL PEOPLE : Sikh )"
8,3488,"T53:8 (ALL PEOPLE : Any other religion )"
9,215861,"T53:9 (ALL PEOPLE : No religion )"
10,97098,"T53:10 (ALL PEOPLE : Religion not stated )"
11,640193,"T53:11 (Males : ALL PEOPLE )"
12,455830,"T53:12 (Males : Christian )"
13,1276,"T53:13 (Males : Buddhist )"
14,2553,"T53:14 (Males : Hindu )"
15,3104,"T53:15 (Males : Jewish )"
16,4292,"T53:16 (Males : Muslim )"
17,671,"T53:17 (Males : Sikh )"
18,1546,"T53:18 (Males : Any other religion )"
19,121626,"T53:19 (Males : No religion )"
20,49295,"T53:20 (Males : Religion not stated )"
21,670642,"T53:21 (Females : ALL PEOPLE )"
22,515728,"T53:22 (Females : Christian )"
23,1385,"T53:23 (Females : Buddhist )"
24,2481,"T53:24 (Females : Hindu )"
25,3105,"T53:25 (Females : Jewish )"
26,3309,"T53:26 (Females : Muslim )"
27,654,"T53:27 (Females : Sikh )"
28,1942,"T53:28 (Females : Any other religion )"
29,94235,"T53:29 (Females : No religion )"
30,47803,"T53:30 (Females : Religion not stated )"
31,261784,"T53:31 (AGE - 0 to 15 : ALL PEOPLE )"
32,178116,"T53:32 (AGE - 0 to 15 : Christian )"
33,275,"T53:33 (AGE - 0 to 15 : Buddhist )"
34,1032,"T53:34 (AGE - 0 to 15 : Hindu )"
35,1001,"T53:35 (AGE - 0 to 15 : Jewish )"
36,2088,"T53:36 (AGE - 0 to 15 : Muslim )"
37,296,"T53:37 (AGE - 0 to 15 : Sikh )"
38,258,"T53:38 (AGE - 0 to 15 : Any other religion )"
39,55116,"T53:39 (AGE - 0 to 15 : No religion )"
40,23602,"T53:40 (AGE - 0 to 15 : Religion not stated )"
41,129420,"T53:41 (AGE - 16 to 24 : ALL PEOPLE )"
42,83076,"T53:42 (AGE - 16 to 24 : Christian )"
43,304,"T53:43 (AGE - 16 to 24 : Buddhist )"
44,642,"T53:44 (AGE - 16 to 24 : Hindu )"
45,550,"T53:45 (AGE - 16 to 24 : Jewish )"
46,1204,"T53:46 (AGE - 16 to 24 : Muslim )"
47,189,"T53:47 (AGE - 16 to 24 : Sikh )"
48,346,"T53:48 (AGE - 16 to 24 : Any other religion )"
49,33550,"T53:49 (AGE - 16 to 24 : No religion )"
50,9559,"T53:50 (AGE - 16 to 24 : Religion not stated )"
51,454218,"T53:51 (AGE - 25 to 49 : ALL PEOPLE )"
52,319371,"T53:52 (AGE - 25 to 49 : Christian )"
53,1362,"T53:53 (AGE - 25 to 49 : Buddhist )"
54,2253,"T53:54 (AGE - 25 to 49 : Hindu )"
55,2200,"T53:55 (AGE - 25 to 49 : Jewish )"
56,3318,"T53:56 (AGE - 25 to 49 : Muslim )"
57,589,"T53:57 (AGE - 25 to 49 : Sikh )"
58,1647,"T53:58 (AGE - 25 to 49 : Any other religion )"
59,94043,"T53:59 (AGE - 25 to 49 : No religion )"
60,29435,"T53:60 (AGE - 25 to 49 : Religion not stated )"
61,179806,"T53:61 (AGE - 50 to 59 : ALL PEOPLE )"
62,145318,"T53:62 (AGE - 50 to 59 : Christian )"
63,443,"T53:63 (AGE - 50 to 59 : Buddhist )"
64,682,"T53:64 (AGE - 50 to 59 : Hindu )"
65,1047,"T53:65 (AGE - 50 to 59 : Jewish )"
66,592,"T53:66 (AGE - 50 to 59 : Muslim )"
67,138,"T53:67 (AGE - 50 to 59 : Sikh )"
68,681,"T53:68 (AGE - 50 to 59 : Any other religion )"
69,18694,"T53:69 (AGE - 50 to 59 : No religion )"
70,12211,"T53:70 (AGE - 50 to 59 : Religion not stated )"
71,66768,"T53:71 (AGE - 60 to 64 : ALL PEOPLE )"
72,56638,"T53:72 (AGE - 60 to 64 : Christian )"
73,113,"T53:73 (AGE - 60 to 64 : Buddhist )"
74,171,"T53:74 (AGE - 60 to 64 : Hindu )"
