
"KS209EW - Religion"
"ONS Crown Copyright Reserved [from Nomis on 26 December 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Area Type  :","local authorities: county / unitary (prior to April 2015)"
"Area Name  :","E10000012 : Essex"
"Rural Urban:","Total"

"row","2011","Religion"

1,1393587,"All categories: Religion"
2,901444,"Has religion"
3,860906,"Christian"
4,4693,"Buddhist"
5,8295,"Hindu"
6,6662,"Jewish"
7,13526,"Muslim"
8,2197,"Sikh"
9,5165,"Other religion"
10,392047,"No religion"
11,100096,"Religion not stated"



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

"","The voluntary question on religion in the 2011 Census was intended to capture"
"","people's religious affiliation and identification at the time of the Census"
"","irrespective of whether they practised or believed in that religion or how"
"","important it was in their lives.  If a person had no religion then the"
"","first"
"","of a series of tick boxes could be selected.  Care should be taken when"
"","using"
"","these data not to infer, or allow the inference by others, that the"
"","practice"
"","of a religion or specific religious activities that are expected of"
"","believers"
"","has been measured.  Unlike other census questions where missing answers are"
"","imputed, this question was voluntary, and where no answer was provided the"
"","response is categorised as 'not stated'."
"",""

"","Due to an error in the processing of census data, the number of usual"
"","residents"
"","in the 'Religion not stated' category has been overestimated by a total of"
"","62,000 for three"
"","local authorities: Camden, Islington and Tower Hamlets. More information"
"","from"
"",""
"","http://www.ons.gov.uk/ons/guide-method/census/2011/census-data/census-products--issues-and-corrections/index.html"
"",""

